group,enabler
1,"Open communication and lots of feedback between collaborators"
1,"Collaborations built on people who already know each other (e.g., met at a conference)"
1,"Mutual benefit / fair workload distribution"
1,"A person or people delegated to convene and organize the group"
1,"Clear, fair, transparent ownership across the team"
1,"Capitalizing on existing momentum"
2,"Broad planning and integration so everyone sees the big picture"
2,"Dedicated logistics/operations management for the collaboration"
3,"A welcoming, low-competition culture with strong internal collaboration (e.g., RIT CASTLE)"
3,"Shared desire to see the collective group succeed; shared office space"
3,"Regular recurring meetings (e.g., twice weekly)"
3,"Support structures for junior faculty"
4,"Unfunded traditions that build community (e.g., rotating writing retreats)"
4,"Scheduled recurring meetings with a set agenda"
4,"In-person interaction to build trust and emotional connection"
4,"Explicit conversations about roles, responsibilities, and authorship norms"
5,"Small grants to get collaborations started"
5,"Institutional norms/values that encourage and reward this work"
5,"Informal collaborations emerging from formal spaces (e.g., grad students via CASTLE)"
5,"Identifying complementary skills/interests early"
5,"Dedicated logistical leadership to keep the group moving"
6,"Shared communication space"
6,"Shared vision and goals (e.g., around state advocacy)"
6,"Clear leadership team plus project work teams"
6,"Delegation with trust and respect"
6,"Explicit norm-setting and shared language/expectations"
7,"Regular check-ins with collaborators and a clear agenda"
7,"Designated leaders for sub-projects with candid authorship conversations"
7,"Making space for individual goals by career stage"
7,"Explicit conversations about goals and expectations up front"
9,"Eager, responsive collaborators"
9,"Shared values across fields even without a shared disciplinary background"
9,"Structures that create frequent, low-stakes cross-disciplinary contact (e.g., RIT CASTLE, CDER)"
9,"A convener/organization that brings DBER folks together regularly"
