StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q15_1,Q27_1,Q36_1,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q28_6,Q28_7,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,Q32_6_TEXT,Q33,Q34,Q31,Q30,Q16,Q24,Q24_11_TEXT,Q25
2026-06-18 13:44:50,2026-06-18 13:56:50,IP Address,*******,100,720,True,2026-06-18 13:56:51,R_1Uy1HEe1ZRmHKQp,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,A lot,Fairly,Valuable,Very Valuable,Somewhat Valuable,Very Valuable,Valuable,Valuable,Valuable,Somewhat unlikely,Neutral,Somewhat unlikely,Very Likely,Neutral,Very unlikely,,No,,Becoming aware of upstate NY institutions with DBER groups and some of the ways in which these groups are internally organized/supported (CASTLE and CDER) and making some initial connections with people in these groups.,"I've been interested in learning more about ER in other disciplines—the methods, methodologies, theoretical frameworks, and results—and this was a great first step for me to have some of those cross-disciplinary conversations. ","The underlying goal seemed to be about trying to establish collaborations between DBER groups or between disciplines. But—for those of us outside of the already-established groups—I don't think we're yet in a position to do that. I still don't have a great sense of the sorts of questions people are asking (and answering) in other disciplines, how they go about answering those questions, and the extent to which those questions/methods are specific to the discipline or just to the individual researcher. Also, if I'm not already a part of one of the large research groups, I don't know of supports that are in place to establish such collaborations. In addition, I wonder how the inclusion of graduate students (and, to a lesser extent, postdocs) aligns with the goals of collaboration, since grad students aren't really in a position to establish such connections. Unfortunately, I don't have a solution to these issues, and I appreciate the hurdles faced by the organizers in attempting to address them. ","Annual regional symposium,Cross-institutional reading or writing group (monthly, virtual),Virtual seminar series (e.g., works-in-progress presentations),Listserv / email list",,"I don't have anything specific in mind. I already have several other research projects going (and 20 credits to teach each year). I'd love to collaborate with others in the group, but don't have the capacity to take the lead on such collaborations."
2026-06-18 20:49:21,2026-06-18 20:53:59,IP Address,*******,100,277,True,2026-06-18 20:54:00,R_6QQiPcwDtIxZeCd,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,A lot,Well,Valuable,Extremely Valuable,Valuable,Valuable,Valuable,Valuable,Very Valuable,Somewhat likely,Very Likely,Neutral,Neutral,Neutral,Neutral,,"Yes, a specific plan (next step, timeline, people identified)","I had a few collaborators that I hadn't met yet in person that I was able to meet at this conference, which helped to solidify plans we had in motion. For others I had just met, we have plans to continue conversations and see where we would be able to work together.",Networking. It was good to connect with people who are working in DBER across fields and see where we have shared interests and concerns.,"Seeing how similar many of us were at independent of role and institution in tackling some of the problems of undertaking our work was meaningful, and helped me better understand where we could possibly move in the future to make change despite shared difficulties.","I think having more time to talk about ongoing projects in a more structured way–birds of a feather discussions, or project ideation for collaborations would have been nice.","Shared repository of instruments, protocols, and resources,Cross-institutional reading or writing group (monthly, virtual),Network newsletter or blog for sharing works-in-progress,Virtual seminar series (e.g., works-in-progress presentations),Listserv / email list",,Happy to contribute to a virtual seminar.
2026-06-19 04:56:55,2026-06-19 05:04:59,IP Address,*******,100,483,True,2026-06-19 05:04:59,R_795rzjJ4Ie9if3m,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,A lot,Well,Very Valuable,Extremely Valuable,Very Valuable,Extremely Valuable,Extremely Valuable,Very Valuable,Extremely Valuable,Very Likely,Neutral,Somewhat unlikely,Very Likely,Somewhat likely,Neutral,,"Yes, a specific plan (next step, timeline, people identified)","Already had two different emails this week from projects looking to include MCC in their data collection. 
Spoke with my research partner about presenting some of her work at CASTLE at RIT and being more intentional about connecting with that research community",Getting feedback on work; Connecting with other DBER faculty at RIT,I need to see if I can find/create more DBER researchers at MCC,"I would have been interested in some talks/panel sessions. The content grouping of the posters meant that people could not see each other's work as well, but if there we 10 minute talks, we could each hear more from people doing work in our own areas. ","Slack workspace for updates and communication,Shared repository of instruments, protocols, and resources,Shared graduate student training or mentoring program,Virtual seminar series (e.g., works-in-progress presentations),Listserv / email list,Job and opportunity sharing (postings, dissertation defenses, etc.)",,Connecting with other folks locally. 
2026-06-19 06:06:20,2026-06-19 06:15:36,IP Address,*******,100,556,True,2026-06-19 06:15:36,R_5RaOu81kct3wHUl,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,A lot,Well,Valuable,Extremely Valuable,Valuable,Valuable,Valuable,Valuable,Extremely Valuable,Somewhat likely,Very Likely,Neutral,Somewhat likely,Very unlikely,Very unlikely,,"Yes, loosely (interest expressed, but nothing concrete yet)",I discovered multiple people within driving distance that are working on DBER research -- even some at my own institution that I was unaware of.,"I liked the poster sessions the most, and I felt that gave me the best opportunity to learn about others' research.",One of the ideas that struck me most was how generalizable much of the DBER research is to the different disciplines. This was particular clear to me in the AI poster session.,"While I found the working groups valuable, I would have preferred more opportunities to hear more deeply about other DBER research (e.g., in poster sessions or, perhaps more preferably in talks). Perhaps this sounds counter-intuitive, but I actually felt I needed some breaks from talking to take in others' research. And poster sessions were great, but because I presented during the AI session, I didn't get much of a chance to walk around and see others' presentations on AI. Thanks so much for putting together a great conference! ","Annual regional symposium,Shared repository of instruments, protocols, and resources,Listserv / email list",,I would love to work more with folks at neighboring institutions. I've already reached out to a couple to continue the conversation.
2026-06-19 07:27:04,2026-06-19 07:35:35,IP Address,*******,100,510,True,2026-06-19 07:35:35,R_12Q5fZC1ZqE5C1a,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,Completely,Excellently,Very Valuable,Valuable,Somewhat Valuable,Very Valuable,Very Valuable,Valuable,Valuable,Somewhat likely,Neutral,Somewhat unlikely,Somewhat likely,Very unlikely,Very unlikely,none,"Yes, loosely (interest expressed, but nothing concrete yet)","I have some ideas for a project and it could include collaboration with community college folks ---this was a good opportunity for us to sit down and talk about that, when it would otherwise be hard to find time.","Collecting together people who may otherwise not be able to attend a research conference in one place, and connecting them with folks whose primary role is research.",The chat! ,"I would have enjoyed a wider variety of activities---it felt like there was a lot of effort put on participants to make the conference valuable by continuing to have thoughtful conversation throughout the day. Maybe talks, invited speakers, or more structure would have helped shift some of this effort? While I think the activities were super valuable, I just got tired midway through Thursday which I think had an impact on my participation on Friday.","Slack workspace for updates and communication,Annual regional symposium,Shared graduate student training or mentoring program",,"I don't think I will? I am excited about my collaboration, but I don't think that meaningfully contributes to this community. I would be willing to participate in a slack workspace if it was set up though."
2026-06-19 07:37:05,2026-06-19 07:42:07,IP Address,*******,100,301,True,2026-06-19 07:42:07,R_5aVTZxM0QtitJh3,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,A lot,Well,Very Valuable,Extremely Valuable,Very Valuable,Valuable,Valuable,Somewhat Valuable,Very Valuable,Somewhat likely,Somewhat likely,Somewhat unlikely,Very Likely,Somewhat unlikely,Very Likely,invite others I met to my institution,No,,meeting people from across the region and across fields,idea of asking NY state for money,not staying with the same group as much for working sessions,"Annual regional symposium,Cross-institutional reading or writing group (monthly, virtual),Virtual seminar series (e.g., works-in-progress presentations),Listserv / email list,Job and opportunity sharing (postings, dissertation defenses, etc.)",,helping start an interDBER journal club
2026-06-19 08:33:57,2026-06-19 08:39:30,IP Address,*******,100,332,True,2026-06-19 08:39:30,R_5fq6AyDhcseOhTR,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,A lot,Excellently,Extremely Valuable,Very Valuable,Valuable,Not Valuable,Extremely Valuable,Valuable,Extremely Valuable,Very Likely,Neutral,Somewhat unlikely,Very Likely,Somewhat likely,Neutral,,"Yes, loosely (interest expressed, but nothing concrete yet)",I talked to Jessica Leeker about a potential postdoc in K12 education,Informal chatting time,"Sort of ironically, I really strengthened relationships at Cornell (home institution) more than anything",More space and breaks for the introverts <3,"Slack workspace for updates and communication,Annual regional symposium,Cross-institutional reading or writing group (monthly, virtual),Virtual seminar series (e.g., works-in-progress presentations),Job and opportunity sharing (postings, dissertation defenses, etc.)",,"As a member of CDER leadership, I’m going to try to make solid steps towards establishing the open monthly lit clubs we talked about in collaboration with CASTLE"
2026-06-19 12:41:33,2026-06-19 12:51:17,IP Address,*******,100,583,True,2026-06-19 12:51:17,R_6hEZKFO74fhYFq0,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,A lot,Well,Very Valuable,Extremely Valuable,Somewhat Valuable,Valuable,Very Valuable,Extremely Valuable,Extremely Valuable,Somewhat likely,Somewhat likely,Neutral,Very Likely,Somewhat likely,Very Likely,Befriend some of the attendees for informal events and future conversations,"Yes, loosely (interest expressed, but nothing concrete yet)","I want to go back to RIT to continue connecting with the PhD students and faculty there. I also want to do informal things in nature like hikes and natural writing retreats with Mateo, Kris, Kevin, and Abby from RIT.",Making friends and sharing research in the poster session.,"I had an awesome talk with Abby about gender expression and dressing in professional, semi-professional, and personal settings that were really thought provoking. I also learned what an industry SPRINT is and got ideas for how folks balance industry commitments while remaining a PhD student.",Maybe spacing the first day out a bit more. Also having some opportunities to go on walks/hikes with the visitors and doing informal active activities with them.,"Slack workspace for updates and communication,Annual regional symposium,Cross-institutional reading or writing group (monthly, virtual),Network newsletter or blog for sharing works-in-progress,Shared graduate student training or mentoring program,Virtual seminar series (e.g., works-in-progress presentations),Writing retreats (in-person or virtual),Listserv / email list",,I will follow up with Mateo and Kris to see how they are doing!
2026-06-22 08:03:15,2026-06-22 08:10:20,IP Address,*******,100,425,True,2026-06-22 08:10:20,R_6OMj9Iw1bW2rzEd,*******,*******,*******,*******,*******,*******,anonymous,EN,Excellent,A lot,Excellently,Very Valuable,Very Valuable,Very Valuable,Extremely Valuable,Very Valuable,Valuable,Very Valuable,Somewhat likely,Somewhat likely,Neutral,Very Likely,Somewhat likely,Somewhat likely,,"Not yet, but I intend to follow up with someone",A shared journal club for the upstate DBER community.,Meeting a lot of other regional folks. I like making in-person connections with people. ,We are a big community! I did not realize how much was happening at other institutions.,Attending both days...I had to miss Thursday because of a conflict. ,"Slack workspace for updates and communication,Annual regional symposium,Shared graduate student training or mentoring program,Virtual seminar series (e.g., works-in-progress presentations),Job and opportunity sharing (postings, dissertation defenses, etc.),Other:",website with our members and research profiles,"Using a Slack workspace, attending a virtual seminar once per month for upstate DBER in lieu of a meeting at my home institution. "
2026-06-22 09:17:55,2026-06-22 09:24:57,IP Address,*******,100,421,True,2026-06-22 09:24:57,R_3Bj0YNfausIW8Lv,*******,*******,*******,*******,*******,*******,anonymous,EN,Good,Some,Well,Valuable,Very Valuable,Very Valuable,Very Valuable,Very Valuable,Somewhat Valuable,Very Valuable,Neutral,Somewhat likely,Neutral,Very Likely,Neutral,Neutral,,No,,I enjoyed meeting and talking with researchers from other institutions and fields within DBER! ,"The poster session was great, and I liked the gallery walk activity a lot.","I wished that some of the ""breaks"" were a bit longer, I had some of my best conversations during lunch and on a brief unplanned walk to the Dairy Bar","Slack workspace for updates and communication,Annual regional symposium,Shared graduate student training or mentoring program",,
