table,mechanism,rating
1,Slack workspace,5
1,Annual regional symposium,5
1,Shared repository of resources,3
1,Cross-institutional journal/writing club,5
1,Share and learn seminars,4
1,Network newsletter or blog,NA
1,Shared graduate student mentoring program,4
1,Research exchange opportunities,5
1,Existing resources at our institutions,NA
1,Create a directory with profiles,5
1,Link to sign up,5
3,Slack workspace,3.5
3,Annual regional symposium,4.5
3,Shared repository of resources,4.6
3,Cross-institutional journal/writing club,3
3,Share and learn seminars,5
3,Network newsletter or blog,2.5
3,Shared graduate student mentoring program,4
3,Research exchange opportunities,5
3,Existing resources at our institutions,4
4,Slack workspace,5
4,Annual regional symposium,5
4,Cross-institutional journal/writing club,NA
5,Slack workspace,4
5,Annual regional symposium,5
5,Shared repository of resources,5
5,Cross-institutional journal/writing club,4
5,Share and learn seminars,5
5,Network newsletter or blog,1
5,Shared graduate student mentoring program,5
5,Research exchange opportunities,5
5,Existing resources at our institutions,1
6,Annual regional symposium,5
7,Slack workspace,5
7,Annual regional symposium,4
7,Shared repository of resources,2
7,Cross-institutional journal/writing club,5
7,Share and learn seminars,5
7,Network newsletter or blog,1
7,Shared graduate student mentoring program,4
7,Research exchange opportunities,2
7,Existing resources at our institutions,4
8,Slack workspace,4
8,Annual regional symposium,5
8,Shared repository of resources,5
8,Cross-institutional journal/writing club,2
8,Share and learn seminars,2
8,Network newsletter or blog,2
8,Shared graduate student mentoring program,2
8,Research exchange opportunities,4
8,Existing resources at our institutions,3
9,Slack workspace,3
9,Annual regional symposium,5
9,Shared repository of resources,2
9,Cross-institutional journal/writing club,5
9,Share and learn seminars,5
9,Network newsletter or blog,5
9,Shared graduate student mentoring program,4.5
