group,topic,why_interdber
1,"Universal conceptual frameworks across disciplines","Cross-field frameworks could unify how DBER fields describe learning"
1,"Attrition, retention, and sense of belonging","A shared concern across every DBER field"
1,"Technology adoption (AI, VR, and beyond)","New technologies cut across all STEM classrooms, not one discipline"
1,"Workforce competencies addressable across disciplines","Employers hire across disciplinary lines"
2,"Cross-field norms for AI use in teaching and research","Comp and bio, for example, need to reconcile norms once they collaborate"
2,"Institutional change / incentive structures across disciplines","Incentive structures (tenure, credit) span every DBER field"
3,"GenAI's impact on K-12 students before they reach STEM higher ed","Affects communication, critical thinking, and technical skills relevant to all DBER fields"
3,"Workforce preparation needs for STEM students","Many jobs/industries are interdisciplinary in nature"
4,"How instruction of foundational/service courses (e.g., stats) differs by discipline of instructor","Same content taught differently by a statistician vs. an engineer shapes student experience across fields"
4,"How different disciplines approach and teach 'failure'","Cross-cutting question about pedagogy and student experience"
4,"Shared expectations in student research training across disciplines","Design, lab, and studio training differ by field but serve overlapping goals"
5,"Leveraging new technology in education spaces (assessment, learning objectives)","Same technology-adoption challenge cuts across DBER fields"
5,"Assessing different types of learning skills across disciplinary contexts","No single field owns the assessment problem"
6,"Career pathways among STEM students across disciplines","STEM students often end up in careers outside their training field"
7,"What it means to 'know' a topic across different disciplines (e.g., intro physics vs. chem vs. calc)","Shared introductory courses serve overlapping student populations"
7,"How context influences [x, y, z] across institution types","Requires comparing across different types of institutions"
7,"How DBER as a field has changed over time across disciplines","Comparative/historical question spanning fields"
8,"Non-universality of math across disciplines (physics/engineering vs. math)","Different fields require different epistemological framings of the same content"
8,"Didactic transposition - how scientific knowledge changes when taught","Cross-field question about how knowledge is transformed for instruction and assessment"
9,"Overlap of coursework/skills across disciplines (e.g., engineering-physics-math)","Students take classes across DBER fields; methods should translate"
9,"Differing theoretical frameworks across fields","Cross-reading other fields' frameworks strengthens rigor and validity"
9,"Cross-cutting, non-content-specific challenges (AI, professional skills, gen-ed)","A collective front is needed since these don't belong to one discipline"
