group,principle,in_practice
1,"Common vision for goals and process","Ground rules, a charter, frequent check-ins and revisions"
1,"No disciplinary hierarchies","Self-awareness of hierarchical/disciplinary bias; invite multiple disciplines to the table"
2,"Living documentation for onboarding","No single static source of truth; frequently reviewed decision log with rationale"
2,"Structure for projects","Assign roles/delegate early; everyone accounted for and held accountable"
2,"Reflexivity","Constant reflection on roles, delegation, and direction"
3,"Research into practice","Sharing interventions, especially with early-career/grad students"
3,"Sustaining involvement","At least one in-person touchpoint per year (e.g., one day in Rochester, more central)"
3,"Best matches","Matchmaking people working on similar ideas across fields"
3,"Inviting folks to give talks",""
4,"Career inclusive (all ranks)","Space and time to revisit what deliverables support each person's career stage"
4,"Accessibility-friendly / mutual aid","Hybrid/virtual options, attendance grants for under-resourced institutions"
4,"Methodologically pluralistic","Include work outside STEM (psych, higher ed)"
4,"Non-siloed, boundaried research communities","Space for people to give and receive support across the 'not engineers, not education people' tension"
4,"Curiosity-enabling environments","Space to share half-baked ideas before they're polished"
4,"Intentional mentorship","Support for mentoring across career paths, especially into new/unsupported spaces"
5,"Attitude-oriented","Advocate for the legitimacy and value of social-science/ed-research approaches"
5,"Diversity in motivation and aspiration","Programs that support non-traditional paths, flexible electives"
5,"Early-career support focused","Intentional mentoring by experts to broaden novices' networks"
6,"Shared goals/expectations via a leadership team","One rep per institution meets each semester; point person for project requests; shared Slack"
6,"Shared resources, physical and instrumental","Shared classrooms, meeting spaces, recording equipment, AI APIs, data repositories, training materials"
7,"Individual strengths benefiting the team","Match hosting/roles to where funding and resources already exist (e.g., Cornell's large DBER network)"
7,"Formal documentation of team norms","Co-authorship expectations, sharing work in progress, built-in revise/reflect cadence"
7,"Ways to share ideas and find collaborators","A 'people-library' of research areas and collaboration philosophies"
7,"Strategies to integrate differing perspectives","Bring people together to share cases and strategies for change"
8,"Collaborative inquiry","Find your people, co-construct research questions and grants together"
8,"Equitable and holistic valuing of persons","Respect differential time/energy; gratitude and appreciation built in"
8,"Respecting epistemological diversity","Curiosity over dismissiveness across disciplinary perspectives"
8,"Clear expectations","Build consensus via collaboration agreements; iterate as needed"
9,"Multi-institutional equity of engagement","'Horizontal hierarchy'; term-limited leadership roles; public governing documents"
9,"Regionally invested","Shared interest in regional workforce development, not just research"
9,"DEI-minded","Advocacy for policy change; public education about what DBER is"
9,"Member-driven priorities","Survey the community on scope (K-12/undergrad/grad, boundary disciplines)"
9,"Institutionally agnostic","No single-institution ownership of the website/infrastructure"
9,"Collaboration-minded","Shared repository of collaboration-agreement templates"
